frontend,zlib_entropy_bits_per_char,bigram_entropy_bits_per_char,monogram_entropy_bits_per_char,avg_chars,success_rate,n,category
code,7.5467,2.9203,4.4325,74.5,85.9%,135,phase2
json,6.0793,3.1137,4.4388,171.6,84.4%,135,phase2
natural,7.3972,2.8792,4.1865,77.0,83.0%,135,phase2
nl_json,7.2029,3.0994,4.4508,100.0,67.4%,135,phase2
llmlingua2,8.1985,2.5469,3.9088,41.7,25.9%,135,phase2
code_del0,7.7767,3.0119,4.5313,78.0,80.0%,5,noise_robustness
code_del15,7.9988,2.9105,4.4967,66.0,20.0%,5,noise_robustness
code_del30,8.2710,2.7966,4.4110,54.0,0.0%,5,noise_robustness
code_del45,8.4046,2.6171,4.1992,42.6,0.0%,5,noise_robustness
code_del60,8.4786,2.3774,4.0164,30.6,0.0%,5,noise_robustness
code_del75,8.8926,2.0487,3.6086,19.2,0.0%,5,noise_robustness
code_del90,10.3467,1.3000,2.6529,7.4,0.0%,5,noise_robustness
