model,n_value,total,pass,fail,pass_rate_pct,mean_context_turns
deepseek-v3-2,1,120,92,28,76.7,0.0
deepseek-v3-2,5,120,98,22,81.7,2.0
deepseek-v3-2,10,120,96,24,80.0,3.7
deepseek-v3-2,15,120,102,18,85.0,7.0
deepseek-v3-2,20,120,105,15,87.5,7.0
deepseek-v3-2,9999,120,93,27,77.5,7.0
glm-5-2,1,120,109,11,90.8,0.0
glm-5-2,5,120,104,16,86.7,2.0
glm-5-2,10,120,105,15,87.5,3.7
glm-5-2,15,120,109,11,90.8,7.0
glm-5-2,20,120,110,10,91.7,7.0
glm-5-2,9999,120,111,9,92.5,7.0
kimi-k2-6,1,120,108,12,90.0,0.0
kimi-k2-6,5,120,111,9,92.5,2.0
kimi-k2-6,10,120,109,11,90.8,3.7
kimi-k2-6,15,120,111,9,92.5,7.0
kimi-k2-6,20,120,107,13,89.2,6.8
kimi-k2-6,9999,120,111,9,92.5,7.0
